,Titulares,Texto,Otros_datos
178,"À Punt celebra sus 3 años con una gala que obtiene el 7,1% de audiencia","Los hermanos Moreno son la cuarta generación al frente de Pastelerías Mallorca, la empresa familiar que este 2021 cumple su 90 aniversario. Como todas, ha resurgido de las cenizas de la pandemia.","noticia
porcentaje
Coincidencia 70%
11/06/2021EL MUNDO"
179,Ifema Madrid Live ficha a Los Planetas para su debut,El cantautor británico ha anunciado su primer single en solitario que verá la luz el próximo 25 de junio,"noticia
porcentaje
Coincidencia 84%
11/06/2021VIRGINIA GÓMEZ"
180,"Lennis Rodriguez: ""Yo crío un formato de familia distinto y debe ser respetado""","Humor, actuaciones y premios sorpresa a las caras más conocidas de la cadena en un programa especial que se retransmitió desde el Teatro Principal de Valencia con una media de 117.000 espectadores","noticia
porcentaje
Coincidencia 86%
11/06/2021CRISTINA LUIS , REDA SLAFTI (Vídeo)"
181,"Conchita, tres años después de estar en coma: ""No tendré más hijos. Me da miedo""",Más de 30 artistas pasarán por La Explanda del recinto ferial el próximo mes a lo largo de 15 conciertos,"noticia
porcentaje
Coincidencia 76%
11/06/2021ANDREA M. ROSA DEL PINO"
182,"Así es Kina Méndez, la pareja de El Cigala que lo ha enviado al Juzgado por presuntos malos tratos","Lennis Rodriguez (República Dominicana, 1994) hace equilibrios entre su vida como madre soltera y sus compromisos como artista. Trabajaba como camarera hasta que un día se lanzó a buscar su oportunidad en la música. En apenas dos años, ha logrado que más de medio millón de personas ...","noticia
porcentaje
Coincidencia 76%
11/06/2021ANA GARCÍA ROMERO"
183,"Nil Moliner: "" Muchos de mis técnicos han vuelto a vivir con sus padres. Sentí la responsabilidad de adelantarles el sueldo""","La cantante hispano-finlandesa conversa con LOC sobre 'El viaje', la canción en la que habla de la experiencia de ser madre y el hecho de 'no saber si hizo bien trayendo a su hijo a este mundo de locos'.","noticia
porcentaje
Coincidencia 83%
11/06/2021CRISTINA GALAFATE"
184,"Alicia Keys, la niña que huyó de las prostitutas y drogadictos tocando el piano hasta amasar una fortuna de 150 millones de dólares","En el mundo del flamenco no se habla de otra cosa. La detención de Diego El Cigala en un hotel de Madrid por presunta violencia de género, tras la denuncia presentada por su pareja, la cantaora Kina Méndez, quien le acusa de presuntos malos tratos físicos y psicológicos continuados durante dos años.","noticia
porcentaje
Coincidencia 76%
10/06/2021LUIS FERNANDO ROMO"
185,El curso escolar en Madrid comenzará el 7 de septiembre en Primaria y el 8 en Secundaria,"Se pinta las uñas con smiley porque le da la gana. El catalán se ha repuesto de un parón en el momento más álgido de su carrera con el optimismo que le caracteriza. Un año después, recupera su gira, tiene colaboraciones con artistas pactadas a través de un WhatsApp y un entrenador personal que le...","noticia
porcentaje
Coincidencia 73%
10/06/2021EFE"
186,Muere el historiador y crítico de arte Tomás Llorens,La cantante creció en uno de los barrios más conflictivos de los años 80 en Nueva York. Su destino cambió cuando uno de sus vecinos se mudó y no sabía qué hacer con el piano.,"noticia
porcentaje
Coincidencia 70%
10/06/2021EFE"
187,"Plácido Domingo: ""Si tengo fuerzas y puedo salir al escenario, me doy por bien pagado""",Las vacaciones de Navidad comenzarán el 23 de diciembre y las clases se reanudarán el 10 de enero,"noticia
porcentaje
Coincidencia 74%
10/06/2021DARÍO PRIETO"
188,La cubitera con Bluetooth y luces LED de Aldi y otros productos originales y baratos que vas a querer (sí o sí) este verano,El ex director del Museo Reina Sofía y del IVAM y primer conservador jefe del Museo Thyssen ha fallecido a los 85 años de edad,"noticia
porcentaje
Coincidencia 74%
10/06/2021BAZAR"
189,Irene Montero y Mónica García critican la ovación a Plácido Domingo en Madrid,"El cantante recibe el reconocimiento como Embajador Honorario del Patrimonio Mundial de España e interpreta la aclamación que recibió en Madrid este miércoles: 'Con ese grito, mis paisanos dijeron: 'Plácido, eres nuestro''","noticia
porcentaje
Coincidencia 80%
10/06/2021EL MUNDO"
190,"Mayorga, La Zaranda, Aitana Sánchez-Gijón, Max Aub... el Teatro Español vuelve por todo lo alto","Una hamaca para el agua, una máscara de snorkel, una toalla antiarena... Estos son los imprescindibles para un día de playa o piscina y que puedes comprar con descuento en Amazon","noticia
porcentaje
Coincidencia 73%
10/06/2021MANUEL LLORENTE"
191,"Diego El Cigala, detenido por violencia de género tras las denuncias de su mujer",La ministra de Igualdad y la portavoz de Más Madrid declaran que el ensalzamiento del tenor va en contra de la igualdad,"noticia
porcentaje
Coincidencia 70%
10/06/2021LOC"
192,"Plácido Domingo, aclamado con largas ovaciones en su regreso a los escenarios españoles","Más de 60 espectáculos se representarán la próxima temporada también en el Matadero, que incluirá una exposición de Colita y un homenaje a Gerardo Vera con Carlos Hipólito","noticia
porcentaje
Coincidencia 76%
10/06/2021DARÍO PRIETO"
193,La huelga del coro deja en el aire el final de la temporada del Palau de les Arts de Valencia,El cantaor flamenco ha pasado la noche en la comisaría tras ser sido detenido en un hotel de Madrid por presuntos malos tratos en Jerez de la Frontera,"noticia
porcentaje
Coincidencia 76%
10/06/2021NOA DE LA TORRE"
194,Peter Dinklage: la discreta vida personal del actor que en Juego de tronos solo comía tofu (aunque pareciera carne),"El tenor reconvertido en barítono ha vuelto a actuar en España, un año y medio después, en una gala a beneficio de Cruz Roja celebrada este miércoles en el Auditorio Nacional de Madrid","noticia
porcentaje
Coincidencia 73%
10/06/2021FÁTIMA ELIDRISSI"
195,Plácido Domingo: fin a su 'annus horribilis',"La protesta por la temporalidad en el sector público golpea al teatro operístico, cuyos cantantes denuncian que el coro puede acabar desintegrándose","noticia
porcentaje
Coincidencia 74%
10/06/2021REBECCA KELLER"
196,El jazz vuelve este verano a los festivales de San Sebastián y Vitoria,"Conocido por interpretar a Tyrion Lannister en el drama fantástico de HBO, Dinklage está casado con la directora teatral Erica Schmidt desde 2005 y el matrimonio tiene dos hijos.","noticia
porcentaje
Coincidencia 86%
09/06/2021EL MUNDO"
197,La prohibición de Twitter en Nigeria provoca indignación,"Plácido Domingo (79) empezó 2020 con sobresaltos parecidos a los que tuvo que soportar desde mediados de 2019, cuando una serie de reportajes de la agencia Associated Press (AP) dieron voz (anónima, en la mayoría de los casos) a mujeres que acusaban al cantante español de presunto acoso y abuso...","noticia
porcentaje
Coincidencia 70%
09/06/2021AFP"
198,Amazon Prime Day 2021: Las mejores ofertas previas al gran día de descuentos,Del 21 al 25 de julio Jazzaldia celebrará su festival número 46 en San Sebastián y Vitoria-Gasteiz acogerá la 44ª edición de su festival de jazz del 14 al 18 de julio,"noticia
porcentaje
Coincidencia 72%
09/06/2021PIXEL"
199,Qué hacer con los niños en verano: 10 juguetes STEAM para desarrollar sus habilidades científicas,"Más de 120 millones de nigerianos tienen acceso a internet y casi el 20% , 40 millones de personas, dicen tener una cuenta de Twitter. En el país, la red social es un medio para interpelar al gobierno","noticia
porcentaje
Coincidencia 70%
09/06/2021BAZAR"
200,"Músicos y amigos rinden homenaje a Pau Donés, en el aniversario de su muerte",Algunas compañías no parecen saber cuándo empieza el Amazon Prime Day 2021 porque han puesto las primeras ofertas casi dos semanas antes,"noticia
porcentaje
Coincidencia 86%
09/06/2021EFE"
201,"Rolling Stones, Coldplay, Noel Gallagher La música británica se rebela contra Spotify y Apple Music",El curso escolar está llegando a su fin y no hay padre que no se pregunte cómo conseguir entretener a sus hijos durante los próximos meses de verano. Y hay opciones más allá de los tradicionales cuadernillos Santillana,"noticia
porcentaje
Coincidencia 86%
09/06/2021ALBERTO MUÑOZ"
202,La Zarzuela del Kas: la historia de Vallecas a través de la música y el teatro,"Más de 50 músicos y amigos de Pau Donés han participado en la grabación de la canción de Jarabe de Palo 'Valiente', cuando se cumple un año de su muerte","noticia
porcentaje
Coincidencia 80%
09/06/2021MARÍA VAQUERO"
203,"Látex, cárcel y explosiones: Sweet California cambia de piel",Más de 200 artistas exigen a las plataformas 'una retribución mínima' por su trabajo y piden al Gobierno la creación de un organismo público que canalice los ingresos por la reproducción de música,"noticia
porcentaje
Coincidencia 81%
09/06/2021LUIGI BENEDICTO BORGES"
204,"Renovables, guarderías, menos impuestos y banda ancha: así es el modelo de repoblación de la España vaciada",CULTURA El 12 de junio en la plaza Carlos Jiménez de Parga,"noticia
porcentaje
Coincidencia 70%
09/06/2021Guillermo del Palacio"
205,El arte flamenco de Diego El Cigala se suma al cartel de Som Festival Castelló,120 vecinos del barrio cuentan sus vivencias y anécdotas en un proyecto comunitario para impulsar el desarrollo sociocultural,"noticia
porcentaje
Coincidencia 77%
08/06/2021E.M."
206,Los Sony WF-1000XM4 aspiran a ser los mejores auriculares bluetooth del año,Las plataformas que conforman España Vaciada proponen dedicar un 1% del Producto Interior Bruto anual a la lucha contra la despoblación y abordar este problema con un Pacto de Estado,"noticia
porcentaje
Coincidencia 76%
08/06/2021BRUNO TOLEDANO"
207,Cuatro nuevos asiáticos por los que este verano hay que dejarse caer,El cantaor flamenco con más proyección internacional tiene en su haber hasta 6 Latin Grammys y en su cita con Castellón presentará su gira 'Cigala canta a México',"noticia
porcentaje
Coincidencia 70%
08/06/2021ISABEL MUÑOZ"
208,"La violinista, un duelo musical de altura que viene de Finlandia","Sony ha renovado el diseño, los drivers, las funciones de insonorización y la funda de sus popularísimos auriculares inalámbricos, que usan además el nuevo estándar Bluetooth 5.2","noticia
porcentaje
Coincidencia 79%
08/06/2021JAVIER ESTRADA"
209,"Miley Cyrus: ""Me hace feliz ir al campo y ensuciarme, estar en la granja tal y como crecí""","En Madrid, cada vez somos más asiáticos, gastronómicamente hablando","noticia
porcentaje
Coincidencia 79%
08/06/2021MARISA DEL BOSQUE"
210,"Coronavirus España hoy, última hora | Sanidad registra 9.536 nuevos casos y 40 fallecidos tras el fin de semana",El drama finlandés La violinista llega a los cines el 11 de junio. La película se centra en una famosa violinista que comienza una nueva etapa profesional como profesora de música,"noticia
porcentaje
Coincidencia 70%
08/06/2021ESTHER MUCIENTES , JAVIER MUNERA , PABLO HERRAIZ | ANA CARRASCO"
211,"Bonnie Tyler cumple 70 más rica que nunca: mansiones en Portugal y Reino Unido, caballos y tierras en Nueva Zelanda","Miley Cyrus ofrecerá el próximo 10 de junio, a las 19:30 horas, su primer concierto virtual masterizado en sonido 8D","noticia
porcentaje
Coincidencia 77%
08/06/2021JAVIER BLÁNQUEZ"
212,Apple va a por Zoom con nuevas funciones para colaborar usando su herramienta de videoconferencia FaceTime,"España acaba su mejor fin de semana en vacunación, con 1,25 millones de dosis administradas","noticia
porcentaje
Coincidencia 70%
08/06/2021Ángel Jiménez de Luis"
213,Cristiano Ronaldo bate un nuevo y millonario récord fuera del fútbol,"A sus años sigue haciendo giras, pero no lo hace por dinero o necesidad, sino porque le apetece. Sus canciones siguen generando millones.","noticia
porcentaje
Coincidencia 70%
07/06/2021GTRES"
214,"Tico, el loro que interpreta los clásicos del rock en YouTube",La empresa permitirá también a los usuarios de dopad crear apps en el propio dispositivo,"noticia
porcentaje
Coincidencia 79%
07/06/2021F5"
215,"Las polémicos gustos sexuales de Jesé: ""Que no se olvide de la paliza""","El futbolista se convierte en la persona más influyente del mundo en redes sociales, con 570 millones de seguidores, por delante de Justin Bieber y Ariana Grande. Georgina Rodríguez también sube y se posiciona por delante de Ester Expósito.","noticia
porcentaje
Coincidencia 70%
07/06/2021GTRES"
216,"Lola Índigo: ""Quienes dicen que ir al psicólogo es de locos son los mismos que dicen que llevar falda corta es de frescas""",Sus versiones de AC/DC o Led Zeppelin han conseguido millones de visualizaciones en las redes sociales,"noticia
porcentaje
Coincidencia 80%
07/06/2021PABLO R. ROCES"
217,"La calle Áncora, la desconocida vía de Arganzuela (cada vez más de moda)",El futbolista y cantante ha publicado un mensaje en su Instagram que ha desatado la polémica.,"noticia
porcentaje
Coincidencia 70%
07/06/2021ROCÍO NAVARRO"
218,"Nya de la Rubia afirma sentirse ""encasillada"" por su físico en televisión: ""Los directores buscan otra cosa""",La granadina forjó su carrera en televisión y ahora es una referente de la música urbana femenina: 'No soy ejemplo de nada pero es bonito que la niñas lo perciban así',"noticia
porcentaje
Coincidencia 74%
07/06/2021ANDREA M. ROSA DEL PINO"
219,"Visita al taller de Alberto Corazón: ""No paraba de fumar un cigarrillo tras otro. El último, la víspera de morir""","El madrileño distrito de Arganzuela está de moda: Matadero, el cada vez más gastronómico Barrio de los Metales, el Museo del Ferrocarril y el Mercado de Motores","noticia
porcentaje
Coincidencia 76%
06/06/2021MANUEL LLORENTE , CARLOS GARCÍA POZO (Fotografía)"
220,"Gabriel Albiac: ""Fui eligiendo la opción de encerrarme""","La artista andaluza, conocida por interpretar a Lola Requena en la ficción, busca nuevos proyectos en la pantalla: 'A quien me escuche o me lea: estoy deseando trabajar'.","noticia
porcentaje
Coincidencia 72%
06/06/2021DAVID LEMA , FOTOS: ANTONIO HEREDIA"
221,Una canción para salvar una vida a 280 kilómetros de distancia,"Ana Arrambarri, la mujer del artista fallecido en febrero, abre las puertas de su templo de trabajo y recuerda su legado: 'Era muy noctámbulo y trabajaba hasta las cuatro de la madrugada'","noticia
porcentaje
Coincidencia 73%
06/06/2021GERMÁN GONZÁLEZ"
222,"Los comercios centenarios de Madrid aguantan la embestida del Covid a la espera del turismo: ""Necesitamos que vengan el doble para paliar las grandes pérdidas""","Confiesa que cada vez le apetece menos salir de su «buhardillita». Condensamos aquí la vida de un hombre, que, dice, existo por azar, «por pura incompetencia»","noticia
porcentaje
Coincidencia 72%
06/06/2021VIRGINIA GÓMEZ"
223,Por qué los jóvenes de hoy viven mejor que sus padres,La difusión de una campaña de donación de sangre de unos alumnos de una escuela en Barcelona permite ayudar a una niña con leucemia en Castellón,"noticia
porcentaje
Coincidencia 70%
05/06/2021RODRIGO TERRASA , ILUSTRACIÓN: JOSETXU L. PIÑEIRO"
224,"'Linea de fuego', de Pérez-Reverte, premio de la Crítica","Los propietarios de los negocios con más solera del centro de Madrid, que han sobrevivido entre horas extra, créditos y reservas, aguardan la llegada de visitantes. Para la mayoría, sus cuentas dependen entre un 60 y un 90% de ellos","noticia
porcentaje
Coincidencia 73%
05/06/2021EFE"
225,El legado de Ángel Barrios vuelve a abrir sus puertas en el corazón de la Alhambra,"Los llamados 'millennials' ha tenido un acceso a la información que sus padres ni soñaron, disfrutan más del ocio y la cultura que ellos, tienen más libertad, más igualdad de género y muchísimas más facilidades para conciliar","noticia
porcentaje
Coincidencia 79%
05/06/2021MANUEL MATEO PÉREZ"
226,"La casa Huarte, una joya de la arquitectura de los 60 deshabitada y convertida en set para rodar series",El antiguo baño de la mezquita muestra la huella del compositor y músico,"noticia
porcentaje
Coincidencia 70%
05/06/2021PABLO R. ROCES"
227,"Cuando España fue 'Quijote', liberalismo e Hispanidad","'Express', la primera serie española de Stazplay, ha encontrado en esta construcción su escenario para una distopía sobre los secuestros","noticia
porcentaje
Coincidencia 70%
05/06/2021DAVID JIMÉNEZ TORRES"
228,"La complicada vida sexual de cualquier fan: ""Cuando hago el amor con mi marido, imagino que es Barry Manilow. Siempre""","'Centenariomanía'. Javier Moreno Luzón estudia la festiva revisión de la historia de hace un siglo, molde de todos los mitos nacionales","noticia
porcentaje
Coincidencia 79%
05/06/2021PABLO HERRAIZ"
229,"María Jiménez: ""¿La gestión de la pandemia? Yo qué sé. Esta gente no se explica""","'Starlust' recoge las confesiones más íntimas y alocadas de decenas de fans de la música ochentera, con especial énfasis en el deseo erótico","noticia
porcentaje
Coincidencia 70%
05/06/2021ANA GARCÍA ROMERO"
230,"Amaya Arzuaga: ""Aprendí a gozar del vino, del champán y de la vida""","La intérprete de 'Se acabó' habla sobre su intensa vida y desmiente que Tana Rivera la acompañara en la promoción de su nuevo disco, 'La vida a mi manera', lanzado tras 15 años sin grabaciones.","noticia
porcentaje
Coincidencia 70%
05/06/2021MARÍA EUGENIA YAGÜE"
231,Cinco joyas de Ribera del Duero que hay que conocer,"Hizo historia con sus modelos trangresores, pero dejó las pasarelas para meterse en los fogones y su restaurante 'Taller', en la ribera del Duero, ya tiene una estrella Michelin poco después de su estreno.","noticia
porcentaje
Coincidencia 73%
05/06/2021MARÍA CANALES"
232,Berlanga somos todos: el legado del cineasta a través de diferentes homenajes,"Tradicionales, centenarias, vanguardistas, ecológicas... proponemos una variada ruta por una serie de bodegas de la Denominación de Origen muy diferentes entre sí.","noticia
porcentaje
Coincidencia 72%
05/06/2021ISMAEL MARINERO"
233,La otra cara de las 'lavadoras nocturnas' para abaratar el recibo: multas de hasta 6.000 euros por ruido,"A punto de cumplirse 100 años desde el nacimiento de Luis García Berlanga, los homenajes y conmemoraciones en torno a su legado se acumulan, como si fueran los personajes en uno de sus famosos planos-secuencia. El legado infinito del cineasta que mejor retrató el pesimismo patrio teñido de sainete...","noticia
porcentaje
Coincidencia 70%
04/06/2021Guillermo del Palacio"
234,"Ray Loriga: ""Me dijeron: o te quitamos el tumor cerebral o te mueres en 15 días""","Cada ayuntamiento tiene su propia ordenanza, por lo que no todos los ciudadanos están expuestos a estas sanciones.","noticia
porcentaje
Coincidencia 70%
04/06/2021PEDRO SIMÓN , FOTOS: ANTONIO HEREDIA"
235,"Así es Yonaguni, la nueva canción de Bad Bunny: letra y vídeo","El escritor rompe su silencio después de un año y medio de enfermedad, recuperación y paradójica calma: 'No tenía miedo a morir, tenía miedo a quedarme mal'","noticia
porcentaje
Coincidencia 76%
04/06/2021TRESB"
236,La música como idioma,El artista se convierte en un personaje de anime en este trabajo que cuenta con varias referencias orientales,"noticia
porcentaje
Coincidencia 86%
04/06/2021SANDRA MORALES"
237,¿Qué hacemos este finde? Los mejores planes de viernes a domingo,"Traductor y profesor en la UJI, Juanma García Izquierdo presenta 'Tormenta', tema grabado con su hijo mayor que acaba de cumplir 15 años","noticia
porcentaje
Coincidencia 77%
04/06/2021CRISTINA GALAFATE"
238,"Nace oríGenes, un festival gastronómico que ahonda en la tradición","Se anima la vida de la capital con los nuevos horarios y la ampliación de aforos. Siempre con cabeza y la máxima responsabilidad, si quieres aprovechar al máximo el tiempo de ocio que el coronavirus te ha robado, aquí cuentas con un abanico de opciones para planificarte.","noticia
porcentaje
Coincidencia 70%
04/06/2021LUIGI BENEDICTO BORGES"
239,"J Balvin, el chico de Medellín que lucha contra la depresión","Los jardines del Palauet de Teià (Barcelona), una masía histórica y singular del siglo XVII de reconstrucción neomedievalista, se preparan ya para celebrar los días 11y 12 de junio, oríGenes Festival Gastronómico, un evento boutique que busca 'ofrecer una experiencia gastronómica inédita a través...","noticia
porcentaje
Coincidencia 72%
04/06/2021M. CANALES"
240,"Mark Wahlberg: de la heroína, la cárcel y el rap a convertirse en uno de los actores mejor pagados del mundo","Un recién estrenado documental de Amazon Prime muestra el lado más íntimo de la estrella colombiana del reguetón, sus principales preocupaciones y cómo fueron sus inicios.","noticia
porcentaje
Coincidencia 73%
04/06/2021FÁTIMA ELIDRISSI"
241,"Ricky Martin habla sobre sus relaciones con hombres y mujeres: ""No estaba engañando a nadie""","Con 13 años era drogadicto y con 16 entró en prisión. Saltó a la fama como imagen de los calzoncillos CK antes de triunfar en Hollywood. Además, es un devoto padre de cuatro niños con Rhea Durham","noticia
porcentaje
Coincidencia 73%
04/06/2021BANG"
242,"Cancelado el Rototom 2021 por el Covid: ""La distancia social es incompatible con la esencia del festival""","Antes de que Ricky Martin hiciera pública su homosexualidad en 2010, se le atribuyeron un sinfín de novias -algunas confirmadas y otras no- tal y como se esperaría de una estrella de la música que abrazó por completo el estereotipo de latin lover cuando dio el salto al mercado...","noticia
porcentaje
Coincidencia 77%
03/06/2021EL MUNDO"
243,Primarias socialistas en Andalucía: Mrs. Wonderful versus la realpolitik,"Los responsables de la organización, tras su reunión con Sanidad y Turismo explican que las actuales medidas sanitarias 'acotarían la agenda del festival a la celebración de conciertos con distancia social, y aunque entendemos que son necesarias, resultan incompatibles con la esencia y la atmósfera ...","noticia
porcentaje
Coincidencia 70%
03/06/2021TERESA LÓPEZ PAVÓN"
244,El Palacio Real de Madrid acoge de nuevo el Relevo Solemne de la guardia tras 14 meses sin celebrarse,Susana Díaz blande la carta del feminismo y la 'resistencia' mientras Espadas se presenta como el único que garantiza la reunificación del PSOE andaluz,"noticia
porcentaje
Coincidencia 76%
03/06/2021MARÍA VAQUERO"
245,En el búnker de 'La casa de papel': así es el atraco definitivo al Banco de España desde el interior,El tradicional cambio de guardia de la Plaza de la Armería regresa después del parón provocado por la pandemia,"noticia
porcentaje
Coincidencia 70%
03/06/2021PABLO R. ROCES"
246,Matan en Miami al hijo de una exsenadora mientras dormía,EL MUNDO accede en exclusiva al plató donde se rueda la temporada final del éxito español a nivel mundial de Netflix,"noticia
porcentaje
Coincidencia 70%
03/06/2021EFE"
247,"Rodrigo Cortés: ""Los políticos y los opinadores son cada vez más solemnes... y, por ello, más estúpidos""",Desde el viernes pasado se han presentado en el condado varias tiroteos. El hijo de Campbell fue tiroteado dentro de un apartamento por el exnovio de la mujer con la que estaba saliendo,"noticia
porcentaje
Coincidencia 70%
03/06/2021LUIS MARTÍNEZ"
248,"Pol Granch: ""Lo único que no quiero es que la gente piense que soy un flipado""","El cineasta ahora literati publica 'Los años extraordinarios', un recorrido real, surreal e hiperreal por el mundo del siglo XX de la mano una fábula prodigiosa tan deudora de Jonathan Swift como de Edgar Neville, tan castiza como universal","noticia
porcentaje
Coincidencia 86%
03/06/2021"
249,Probamos el MG ZS EV: un eléctrico con más argumentos que el precio,"Pol Granch. Madrid, 1998. Músico. Pasó de cero a cien al ganar Factor X en 2018. Pasó de cien a mil con el éxito de Tengo que calmarme, su primer disco, y hits recientes como Tiroteo o No pegamos que le han disparado a más de 2,5 millones de escuchas mensuales en Spotify. Y ahora...","noticia
porcentaje
Coincidencia 70%
02/06/2021FÉLIX CEREZO , FÉLIX GARCÍA"
250,"La confesión más personal de Ana Guerra en El Hormiguero: ""Al salir de OT no sabía qué identidad tenía""","La renacida marca británica ofrece este SUV a pilas de 4,31 metros, muy amplio y bien equipado. Por su radio de acción, la ciudad y los alrededores son su territorio natural","noticia
porcentaje
Coincidencia 73%
02/06/2021TRESB"
251,"Llega MadBeach a la Casa de Campo: música en directo, cine al aire libre y ambiente playero para este verano",La cantante ha dado un giro a su carrera y ha plasmado este cambio en el videoclip de Tik Tak,"noticia
porcentaje
Coincidencia 77%
02/06/2021MARÍA VAQUERO"
252,Ley de Mecenazgo: nueva salida en falso por el desinterés del Gobierno,"Con una amplia oferta de actividades, el evento se celebrará al aire libre, en el escenario Puerta del Ángel","noticia
porcentaje
Coincidencia 70%
02/06/2021LUIS ALEMANY"
253,"Marina Pina: ""La monarquía es sinónimo de libertad""","El Congreso desarrollará una propuesta de ley que termine con 10 años de fracasos políticos. Sin embargo, el Gobierno considera que el tema no competencia suya y sus promotores son escépticos.","noticia
porcentaje
Coincidencia 70%
02/06/2021DARÍO PRIETO"
254,"Ana Guerra deja atrás 'Lo Malo' con terapia, un cambio de imagen y tranquilidad en el amor","Santander, 1988. Redactora en LOC y responsable de la información de Casa Real en EL MUNDO, Marina Pina ha escrito Pilar y Margarita. Las hermanas del rey Juan Carlos (La Esfera de los Libros).","noticia
porcentaje
Coincidencia 86%
01/06/2021LUIS FERNANDO ROMO"
255,Rocío Carrasco sufre un ataque de ansiedad frente a la tumba de su madr en Chipiona,La ex triunfita rompió su relación con Miguel Ángel Muñoz el año pasado y ahora se centra en su nuevo proyecto musical,"noticia
porcentaje
Coincidencia 73%
01/06/2021LOC"
256,La nueva edición de 'Cuentos de buenas noches para niñas rebeldes' incluyen a Ada Colau y Agustina de Aragón,Rociito ha visitado el municipio de Chipiona justo el día en el que se celebra el 15 aniversario de la muerte de su madre. El 1 de junio de 2006 España entera conocía la trágica noticia del fallecimiento de una de las figuras más importantes de la música de nuestro país. Una fecha...,"noticia
porcentaje
Coincidencia 70%
01/06/2021Marta Michel"
257,Ana Belén será la Cleopatra de Shakespeare en el Festival de Mérida,"Los primeros de estos cuentos, con las historias de Madame Curie, Frida Khalo o Coco Chanel se convirtieron en un fenómeno editorial en todo el mundo con más de cinco millones y medio de libros vendidos. Ahora las protagonistas son cien españolas, muchas de ellas de hoy.","noticia
porcentaje
Coincidencia 72%
01/06/2021DAVID VIGARIO"
258,"Paraíso, cuando Stranger Things y las niñas de Alcàsser se unieron en una serie","Rafael Álvarez 'el Brujo', Carlos Latre, Pablo Carbonell y Víctor Ullate también participarán en el Festival de teatro clásico, a partir del 25 de junio","noticia
porcentaje
Coincidencia 70%
01/06/2021PABLO R. ROCES"
259,"Zahara: ""Aún tengo mucha mandanga que soltar""","Pau Gimeno, León Martínez, Héctor Gozalbo y Cristian López, entre 17 y 20 años, protagonizan la nueva serie de Movistar +","noticia
porcentaje
Coincidencia 80%
01/06/2021AMAYA GARCÍA"
260,El genio y la música de Aretha Franklin llegan a Disney+,"La cantante y compositora disfruta de la buena acogida de 'Puta', su disco 'más personal y político'. Atrás quedan los malos tratos, el acoso y los abusos, ya 'sin vergüenza ni culpa'. Hoy salen a la venta las entradas de sus próximos conciertos en Madrid","noticia
porcentaje
Coincidencia 76%
01/06/2021JAVIER ESTRADA"
261,Siete propuestas a tener en cuenta esta semana,Genius: Aretha es una miniserie de ficción sobre Aretha Franklin que llega a Disney+ el 4 de junio. Esta producción está protagonizada por Cynthia Erivo y cuenta con el aval de National Geographic,"noticia
porcentaje
Coincidencia 72%
01/06/2021M. CANALES"
262,"Coronavirus España hoy, última hora | Fernando Simón señala a los medios de comunicación como culpables de la elección masiva de AstraZeneca","fOTOGRAFÍA Arranca PhotoEspaña 2021, el certamen de las artes visuales y la fotografía que se ha convertido en un referente a nivel internacional","noticia
porcentaje
Coincidencia 70%
01/06/2021ISABEL VELLOSO | SANTIAGO SAIZ"
263,"Rizha: ""Es normal que la generación de mis padres se sienta confusa respecto a la gente de mi edad""","El director del CCAES considera 'posible' la eliminación de la mascarilla al aire libre 'a mediados, finales de junio' y 'casi con seguridad, a finales de julio'","noticia
porcentaje
Coincidencia 86%
01/06/2021JOSÉ FAJARDO"
264,"Salvador Sobral: ""Canté en bares de alemanes borrachos en Mallorca; fue una gran escuela""","Icono adolescente por su papel en la serie 'Skam', artista precoz, nostálgica de la cultura de la MTV... La argentina estrena su nuevo disco, 'Fever dream'","noticia
porcentaje
Coincidencia 86%
01/06/2021SILVIA MORENO"
265,"Natalia, tras romper con su novio de 13 años: ""Yo nunca he estado soltera y ahora lo que quiero es vivir el verano de verdad""","Salvador Sobral. Lisboa, 1989. Es uno de los artistas más internacionales de Portugal, tras su éxito arrollador en Eurovisión en 2017. Acaba de publicar nuevo disco 'bpm', compuesto por él con temas en inglés, portugués y castellano.","noticia
porcentaje
Coincidencia 72%
01/06/2021ANDREA M. ROSA DEL PINO"
266,Guillermo de la Dehesa: El gobierno español actual no tendrá un final feliz,"El 2021 no ha sido un buen año para la ex triunfita Natalia Rodríguez (38): hace tres meses falleció su amigo Álex Casademunt y, tras 13 años de relación, rompió con el futbolista Álex Pérez. No obstante, la intérprete de Vas a volverme loca asegura que, tras una temporada decaída, ya se encuentra...","noticia
porcentaje
Coincidencia 70%
01/06/2021martí saballs , Fotografía Antonio Heredia"
267,El experimento burbuja de Boadilla: conciertos donde sólo podrán comprar entradas los empadronados en el municipio,"Le avala una de las trayectorias profesionales más intensas en el mundo de la economía y las finanzas españolas. Guillermo de la Dehesa, desde su atalaya, observa con preocupación hacia dónde se dirige España y el mundo.","noticia
porcentaje
Coincidencia 76%
01/06/2021MARÍA VAQUERO"
268,"Andrés Calamaro, el rockero que defiende la tauromaquia, la monarquía y la educación privada",El Ayuntamiento da prioridad a los vecinos de la localidad madrileña para ocupar las 800 sillas disponibles durante la cita musical,"noticia
porcentaje
Coincidencia 74%
31/05/2021LUIS FERNANDO ROMO"
